support,itemsets
0.5442536327608983,"laticinios_sem_queijos,queijos,verduras_hortalicas"
0.5442536327608983,"carnes_resfriadas_congeladas,mercearia,temperos_molhos,tuberculos"
0.5442536327608983,"laticinios_sem_queijos,tuberculos,verduras_hortalicas"
0.5429326287978864,"mercearia,peixes_frutosdomar"
0.5429326287978864,"carnes_resfriadas_congeladas,doces_industrializados,frutas,temperos_molhos"
0.5416116248348745,"carnes_resfriadas_congeladas,laticinios_sem_queijos,mercearia,tuberculos"
0.5402906208718626,"carnes_resfriadas_congeladas,doces_industrializados,queijos,refrigerantes_sucos"
0.5402906208718626,"carnes_resfriadas_congeladas,frutas,queijos,tuberculos"
0.5402906208718626,"laticinios_sem_queijos,mercearia,refrigerantes_sucos,verduras_hortalicas"
0.5402906208718626,"refrigerantes_sucos,temperos_molhos,tuberculos,verduras_hortalicas"
0.5389696169088507,"queijos,temperos_molhos,verduras_hortalicas"
0.5389696169088507,"carnes_resfriadas_congeladas,doces_industrializados,frutas,laticinios_sem_queijos"
0.5376486129458389,"doces_industrializados,frutas,refrigerantes_sucos,verduras_hortalicas"
0.5376486129458389,"carnes_resfriadas_congeladas,frutas,mercearia,queijos"
0.5376486129458389,"peixes_frutosdomar,tuberculos"
0.5363276089828269,"frutas,laticinios_sem_queijos,temperos_molhos,verduras_hortalicas"
0.535006605019815,"doces_industrializados,temperos_molhos,verduras_hortalicas"
0.535006605019815,"laticinios_sem_queijos,refrigerantes_sucos,tuberculos,verduras_hortalicas"
0.5336856010568032,"carnes_resfriadas_congeladas,doces_industrializados,frutas,mercearia"
0.5336856010568032,"frutas,mercearia,temperos_molhos,verduras_hortalicas"
0.5336856010568032,"mercearia,tuberculos,verduras_hortalicas"
0.5310435931307794,"peixes_frutosdomar,refrigerantes_sucos,tuberculos"
0.5310435931307794,"mercearia,peixes_frutosdomar,refrigerantes_sucos"
0.5310435931307794,"carnes_resfriadas_congeladas,verduras_hortalicas"
0.5310435931307794,"laticinios_sem_queijos,queijos,refrigerantes_sucos,verduras_hortalicas"
0.5297225891677675,"carnes_resfriadas_congeladas,doces_industrializados,laticinios_sem_queijos,temperos_molhos"
0.5297225891677675,"doces_industrializados,laticinios_sem_queijos,verduras_hortalicas"
0.5284015852047557,"mercearia,queijos,verduras_hortalicas"
0.5284015852047557,"frutas,peixes_frutosdomar,temperos_molhos"
0.5270805812417437,"queijos,refrigerantes_sucos,temperos_molhos,verduras_hortalicas"
0.5270805812417437,"carnes_resfriadas_congeladas,doces_industrializados,frutas,tuberculos"
0.5270805812417437,"carnes_resfriadas_congeladas,mercearia,queijos,temperos_molhos"
0.5270805812417437,"doces_industrializados,peixes_frutosdomar"
0.5257595772787318,"frutas,laticinios_sem_queijos,mercearia,verduras_hortalicas"
0.5257595772787318,"doces_industrializados,mercearia,verduras_hortalicas"
0.5257595772787318,"carnes_resfriadas_congeladas,laticinios_sem_queijos,mercearia,queijos"
0.5257595772787318,"carnes_resfriadas_congeladas,queijos,temperos_molhos,tuberculos"
0.5257595772787318,"frutas,temperos_molhos,tuberculos,verduras_hortalicas"
0.5257595772787318,"carnes_resfriadas_congeladas,laticinios_sem_queijos,queijos,tuberculos"
0.5257595772787318,"mercearia,refrigerantes_sucos,tuberculos,verduras_hortalicas"
0.523117569352708,"queijos,tuberculos,verduras_hortalicas"
0.523117569352708,"carnes_resfriadas_congeladas,refrigerantes_sucos,verduras_hortalicas"
0.523117569352708,"doces_industrializados,refrigerantes_sucos,temperos_molhos,verduras_hortalicas"
0.523117569352708,"frutas,laticinios_sem_queijos,peixes_frutosdomar"
0.5217965653896962,"carnes_resfriadas_congeladas,doces_industrializados,frutas,queijos"
0.5217965653896962,"peixes_frutosdomar,queijos"
0.5204755614266843,"carnes_resfriadas_congeladas,doces_industrializados,mercearia,temperos_molhos"
0.5191545574636723,"frutas,peixes_frutosdomar,refrigerantes_sucos,temperos_molhos"
0.5178335535006605,"frutas,laticinios_sem_queijos,tuberculos,verduras_hortalicas"
0.5178335535006605,"laticinios_sem_queijos,peixes_frutosdomar,temperos_molhos"
0.5178335535006605,"carnes_resfriadas_congeladas,doces_industrializados,laticinios_sem_queijos,mercearia"
0.5178335535006605,"carnes_resfriadas_congeladas,doces_industrializados,laticinios_sem_queijos,tuberculos"
0.5165125495376486,"mercearia,queijos,refrigerantes_sucos,verduras_hortalicas"
0.5165125495376486,"doces_industrializados,laticinios_sem_queijos,refrigerantes_sucos,verduras_hortalicas"
0.5165125495376486,"carnes_resfriadas_congeladas,doces_industrializados,temperos_molhos,tuberculos"
0.5165125495376486,"doces_industrializados,tuberculos,verduras_hortalicas"
0.5165125495376486,"frutas,laticinios_sem_queijos,queijos,verduras_hortalicas"
0.5151915455746368,"doces_industrializados,peixes_frutosdomar,refrigerantes_sucos"
0.5138705416116248,"frutas,laticinios_sem_queijos,peixes_frutosdomar,refrigerantes_sucos"
0.5138705416116248,"queijos,refrigerantes_sucos,tuberculos,verduras_hortalicas"
0.5138705416116248,"doces_industrializados,mercearia,refrigerantes_sucos,verduras_hortalicas"
0.512549537648613,"doces_industrializados,queijos,verduras_hortalicas"
0.512549537648613,"laticinios_sem_queijos,mercearia,temperos_molhos,verduras_hortalicas"
0.512549537648613,"frutas,queijos,temperos_molhos,verduras_hortalicas"
0.5112285336856011,"peixes_frutosdomar,queijos,refrigerantes_sucos"
0.5112285336856011,"carnes_resfriadas_congeladas,doces_industrializados,mercearia,tuberculos"
0.5099075297225891,"frutas,mercearia,tuberculos,verduras_hortalicas"
0.5099075297225891,"laticinios_sem_queijos,peixes_frutosdomar,refrigerantes_sucos,temperos_molhos"
0.5099075297225891,"frutas,mercearia,peixes_frutosdomar"
0.5085865257595773,"bebidas_alcoolicas,tuberculos"
0.5085865257595773,"doces_industrializados,frutas,temperos_molhos,verduras_hortalicas"
0.5085865257595773,"carnes_resfriadas_congeladas,mercearia,queijos,tuberculos"
0.5072655217965654,"bebidas_alcoolicas,frutas"
0.5072655217965654,"doces_industrializados,refrigerantes_sucos,tuberculos,verduras_hortalicas"
0.5059445178335535,"carnes_resfriadas_congeladas,frutas,verduras_hortalicas"
0.5046235138705416,"carnes_resfriadas_congeladas,doces_industrializados,queijos,temperos_molhos"
0.5046235138705416,"bebidas_alcoolicas,mercearia"
0.5046235138705416,"carnes_resfriadas_congeladas,doces_industrializados,laticinios_sem_queijos,queijos"
0.5033025099075297,matinais
0.5033025099075297,"frutas,mercearia,queijos,verduras_hortalicas"
0.5033025099075297,"frutas,peixes_frutosdomar,tuberculos"
0.5019815059445178,"laticinios_sem_queijos,temperos_molhos,tuberculos,verduras_hortalicas"
0.5019815059445178,"doces_industrializados,frutas,laticinios_sem_queijos,verduras_hortalicas"
0.5006605019815059,"laticinios_sem_queijos,mercearia,peixes_frutosdomar"
0.5006605019815059,"mercearia,peixes_frutosdomar,temperos_molhos"
0.5006605019815059,"doces_industrializados,frutas,mercearia,verduras_hortalicas"
0.49933949801849403,"doces_industrializados,queijos,refrigerantes_sucos,verduras_hortalicas"
0.49933949801849403,"bebidas_alcoolicas,temperos_molhos"
0.49933949801849403,"frutas,mercearia,peixes_frutosdomar,refrigerantes_sucos"
0.49801849405548215,"frutas,peixes_frutosdomar,refrigerantes_sucos,tuberculos"
0.49801849405548215,"carnes_resfriadas_congeladas,frutas,refrigerantes_sucos,verduras_hortalicas"
0.49801849405548215,"frutas,queijos,tuberculos,verduras_hortalicas"
0.49801849405548215,"laticinios_sem_queijos,queijos,temperos_molhos,verduras_hortalicas"
0.49801849405548215,"bebidas_alcoolicas,refrigerantes_sucos,tuberculos"
0.4966974900924703,"mercearia,temperos_molhos,tuberculos,verduras_hortalicas"
0.4966974900924703,"doces_industrializados,frutas,peixes_frutosdomar"
0.4966974900924703,"bebidas_alcoolicas,frutas,refrigerantes_sucos"
0.4953764861294584,"frutas,peixes_frutosdomar,queijos"
0.4940554821664465,"carnes_resfriadas_congeladas,peixes_frutosdomar"
0.4940554821664465,"bebidas_alcoolicas,doces_industrializados"
0.49273447820343463,"carnes_resfriadas_congeladas,doces_industrializados,mercearia,queijos"
